index,liftID,resortID,liftName,status,timeToRide,timestamp,time_diff,time_diff_seconds
0,2,1,Avanti Express Lift #2,O,7,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
22,27,1,Black Forest #27,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
6,8,1,Born Free Express #8,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
16,20,1,Cascade Village #20,O,8,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
15,19,1,Eagle Bahn Gondola #19,O,8,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
14,18,1,Eagle's Nest Carpet #18,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
26,35,1,Eagle's Nest Carpet #35,O,2,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
29,38,1,Earl's Express #38,O,4,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
5,7,1,Game Creek Express #7,O,4,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
20,25,1,Golden Peak Carpet #25,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
23,29,1,Golden Peak Carpet #29,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
24,33,1,Golden Peak Carpet #33,O,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
10,12,1,Gopher Hill #12,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
3,5,1,High Noon Express #5,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
8,10,1,Highline Express #10,O,7,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
25,34,1,Lionshead Carpet #34,O,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
12,15,1,Little Eagle #15,O,2,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
18,22,1,Mongolia Lift #22,O,4,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
2,4,1,Mountain Top Express #4,O,4,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
9,11,1,Northwoods Express #11,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
13,1,1,One,O,8,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
17,21,1,Orient Express Lift #21,O,7,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
30,39,1,Pete's Express #39,O,4,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
21,26,1,Pride Express Lift #26,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
4,6,1,Riva Bahn Express #6,O,9,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
28,37,1,SkyLine Express #37,O,7,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
11,14,1,Sourdough Express #14,O,2,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
7,9,1,Sun Up Express #9,O,8,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
27,36,1,Tea Cup Express #36,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
